,Compound,Date,Negative,Neutral,News Source,Positive,Tweet Count,Tweet Text
102,0.9117,Tue Mar 20 17:04:54 +0000 2018,0.0,0.544,CBC,0.456,3,"@agotoronto @masseyhall @banffcentre Thanks for sharing that info &amp; link, AGO! Looks like this will be a great disc… https://t.co/lhHyRfBHNU"
103,0.4404,Tue Mar 20 17:00:11 +0000 2018,0.0,0.786,CBC,0.214,4,"@WiliamBlount Hi Will. Thank you for reaching out to us. We would like to address your concerns, but would request… https://t.co/8FjJfItHei"
104,0.6486,Tue Mar 20 16:56:17 +0000 2018,0.0,0.569,CBC,0.431,5,"@richardagain Not a fan of this year's nominees, Richard? :)"
105,0.1867,Tue Mar 20 16:55:34 +0000 2018,0.0,0.902,CBC,0.098,6,"RT @SchittsCreek: Something's brewing at Rose Apothecary... don't miss all-new #SchittsCreek, tonight at 9/9:30NT on @CBC! https://t.co/hqy…"
106,0.4926,Tue Mar 20 16:44:50 +0000 2018,0.0,0.842,CBC,0.158,7,@signofariana Hi Alex! Thanks for the suggestion. Ever considered submitting that pitch? You can do so at: https://t.co/bWdKjM7zrb
107,0.9308,Tue Mar 20 16:42:41 +0000 2018,0.0,0.502,CBC,0.498,8,"@dluthor2 @cbcdocs Glad you saw that clip, Derick! We are squealing with joy over here. So adorable :)"
108,0.3382,Tue Mar 20 16:40:52 +0000 2018,0.0,0.626,CBC,0.374,9,"@KeldaLarsen Indeed, Kelda! Well said."
109,0.5411,Tue Mar 20 16:34:49 +0000 2018,0.0,0.845,CBC,0.155,10,"RT @CBCMusic: #CBCMusicFest returns for its sixth year on May 26th! The largest, all-Canadian music festival will include headliners @julyt…"
110,0.7345,Tue Mar 20 16:34:01 +0000 2018,0.0,0.708,CBC,0.292,11,"@capjkkirk @allanhawco @CaughtCBC @PopMythology Excellent, Captain J. Kirk! Can you share a link with us once it's… https://t.co/LqInHZPuO6"
111,0.3802,Tue Mar 20 16:30:02 +0000 2018,0.0,0.88,CBC,0.12,12,"This year's #JUNOS Fan Choice category is stacked! Watch, listen or stream on March 25, and learn more at  … https://t.co/2g7bBnDF8I"
112,0.7424,Tue Mar 20 16:22:32 +0000 2018,0.0,0.389,CBC,0.611,13,@dluthor2 Glad to hear it! :)
113,0.8016,Tue Mar 20 16:21:29 +0000 2018,0.0,0.676,CBC,0.324,14,"@Repinerator @TorrensJonathan @CBCComedy Glad you loved that one as much as we did, Repinerator! @TorrensJonathan i… https://t.co/9yab1Ew6vL"
114,0.9368,Tue Mar 20 16:13:02 +0000 2018,0.0,0.527,CBC,0.473,15,"@dluthor2 Howdy, Derick! Thanks for the love. How's your Tuesday going so far? Happy first day of spring :) #loveCBC"
